rank,symbol,k_period,sl_points,tp_points,profit,pf,mdd,win_rate,sharpe,recovery,score,top
628,GBPUSD,14,900,500,-2273.47,0.34,3012.47,42.9,-0.38,-0.8,-0.723,
629,GBPUSD,7,300,900,-2335.83,0.52,2908.83,38.3,-0.26,-0.8,-0.725,
630,GBPUSD,21,500,300,-2281.9,0.39,2570.93,39.1,-0.39,-0.9,-0.729,
631,USDJPY,21,500,900,-2293.02,0.47,3135.05,30.8,-0.34,-0.7,-0.73,
632,USDJPY,21,900,1200,-2295.2,0.45,2270.75,33.3,-0.32,-1.0,-0.733,
633,USDJPY,21,1200,1200,-2348.44,0.45,2666.23,36.8,-0.31,-0.9,-0.744,
634,GBPUSD,14,1100,700,-2378.8,0.32,2972.03,50.0,-0.36,-0.8,-0.752,
635,GBPUSD,14,500,300,-2394.81,0.39,3036.07,46.2,-0.37,-0.8,-0.755,
636,GBPUSD,14,700,300,-2452.11,0.39,3093.37,52.0,-0.34,-0.8,-0.764,
637,USDJPY,21,300,1100,-2334.31,0.42,2779.77,20.0,-0.38,-0.8,-0.77,
638,GBPUSD,21,900,700,-2362.79,0.32,2580.19,35.3,-0.42,-0.9,-0.774,
639,GBPUSD,14,900,700,-2419.25,0.3,3012.47,42.9,-0.41,-0.8,-0.782,
640,GBPUSD,21,900,500,-2385.54,0.31,2748.72,35.3,-0.44,-0.9,-0.782,
641,USDJPY,21,300,700,-2397.33,0.43,2850.39,21.9,-0.4,-0.8,-0.789,
642,USDCAD,7,700,300,-2557.79,0.42,2982.68,51.2,-0.3,-0.9,-0.797,
643,GBPUSD,21,1200,700,-2468.12,0.31,2685.53,37.5,-0.42,-0.9,-0.809,
644,USDJPY,14,300,500,-2495.65,0.43,3140.48,29.7,-0.4,-0.8,-0.811,
645,GBPUSD,21,1200,500,-2490.87,0.3,2854.06,37.5,-0.43,-0.9,-0.817,
646,USDJPY,7,1100,1200,-2571.16,0.4,2434.81,44.4,-0.32,-1.1,-0.821,
647,GBPUSD,21,900,900,-2480.76,0.28,2698.17,35.3,-0.47,-0.9,-0.822,
648,USDJPY,14,1200,1200,-2605.93,0.47,3300.74,40.9,-0.3,-0.8,-0.823,
649,USDJPY,21,300,1200,-2503.26,0.38,2959.58,20.0,-0.43,-0.8,-0.837,
650,GBPUSD,21,1200,900,-2586.09,0.28,2803.5,37.5,-0.46,-0.9,-0.856,
651,USDJPY,21,300,900,-2551.61,0.37,2844.96,20.0,-0.46,-0.9,-0.858,
652,GBPUSD,21,1100,700,-2618.11,0.3,2835.52,37.5,-0.43,-0.9,-0.863,
653,GBPUSD,21,1100,500,-2640.87,0.29,3004.05,37.5,-0.44,-0.9,-0.872,
654,GBPUSD,7,300,300,-2726.82,0.43,3258.53,38.3,-0.34,-0.8,-0.876,
655,GBPUSD,21,700,300,-2718.39,0.36,3007.42,43.5,-0.39,-0.9,-0.878,
656,GBPUSD,21,500,700,-2709.12,0.29,2940.01,35.0,-0.5,-0.9,-0.903,
657,GBPUSD,14,500,500,-2772.32,0.31,3524.8,44.0,-0.45,-0.8,-0.904,
658,GBPUSD,21,1100,900,-2736.08,0.26,2953.49,37.5,-0.47,-0.9,-0.91,
659,GBPUSD,21,500,500,-2731.87,0.29,3108.54,35.0,-0.52,-0.9,-0.912,
660,GBPUSD,14,700,500,-2847.31,0.31,3599.8,50.0,-0.41,-0.8,-0.919,
661,GBPUSD,21,500,900,-2827.09,0.26,3057.98,35.0,-0.56,-0.9,-0.951,
662,GBPUSD,14,500,700,-2918.1,0.28,3524.8,44.0,-0.5,-0.8,-0.962,
663,GBPUSD,14,700,700,-2993.09,0.28,3599.8,50.0,-0.44,-0.8,-0.977,
664,USDJPY,14,300,900,-2998.7,0.34,3292.05,25.0,-0.48,-0.9,-1.012,
665,USDJPY,14,300,700,-3029.12,0.33,3213.82,25.0,-0.51,-0.9,-1.025,
666,GBPUSD,21,700,700,-3145.61,0.28,3376.5,40.0,-0.49,-0.9,-1.049,
667,USDJPY,14,500,500,-3201.87,0.39,3738.05,36.4,-0.43,-0.9,-1.056,
668,GBPUSD,21,700,500,-3168.36,0.27,3545.03,40.0,-0.5,-0.9,-1.058,
669,GBPUSD,21,300,300,-3152.35,0.3,3098.42,31.0,-0.56,-1.0,-1.068,
670,USDJPY,14,300,1200,-3154.61,0.31,3610.93,25.0,-0.52,-0.9,-1.072,
671,USDJPY,14,300,1100,-3208.93,0.29,3610.93,25.0,-0.55,-0.9,-1.094,
672,GBPUSD,21,700,900,-3263.58,0.25,3494.47,40.0,-0.53,-0.9,-1.096,
673,GBPUSD,14,300,300,-3271.17,0.29,3730.41,38.7,-0.56,-0.9,-1.096,
674,USDJPY,14,500,1200,-3456.65,0.35,4152.0,29.0,-0.44,-0.8,-1.161,
675,USDJPY,14,500,900,-3463.71,0.35,3833.12,29.0,-0.46,-0.9,-1.167,
676,GBPUSD,14,300,500,-3494.47,0.26,4064.94,36.7,-0.6,-0.9,-1.183,
677,GBPUSD,21,300,500,-3483.52,0.28,3598.12,25.0,-0.57,-1.0,-1.194,
678,USDJPY,14,500,1100,-3565.3,0.33,4152.0,29.0,-0.47,-0.9,-1.204,
679,GBPUSD,21,300,700,-3582.11,0.26,3550.93,25.0,-0.6,-1.0,-1.233,
680,GBPUSD,14,300,700,-3640.25,0.23,4064.94,36.7,-0.67,-0.9,-1.242,
681,GBPUSD,21,300,900,-3700.08,0.24,3668.9,25.0,-0.66,-1.0,-1.28,
682,USDJPY,14,500,700,-3789.66,0.29,3941.76,29.0,-0.56,-1.0,-1.294,
