rank,symbol,k_period,sl_points,tp_points,profit,pf,mdd,win_rate,sharpe,recovery,score,top
252,EURUSD,14,500,900,-52.24,0.97,826.64,52.4,-0.01,-0.1,0.18,
253,NZDUSD,28,300,700,-54.77,0.98,1277.46,52.4,-0.01,-0.0,0.18,
254,EURUSD,21,300,1200,-71.63,0.97,814.84,56.0,-0.01,-0.1,0.178,
255,GBPUSD,28,900,300,-71.63,0.97,1374.36,55.6,-0.01,-0.1,0.177,
256,USDJPY,28,1200,700,-97.24,0.97,3009.02,60.0,-0.01,-0.0,0.176,
257,USDJPY,7,1200,300,-129.83,0.96,1774.23,68.4,-0.01,-0.1,0.175,
258,EURUSD,14,500,1100,-65.73,0.97,826.64,52.4,-0.01,-0.1,0.174,
259,EURUSD,14,500,700,-65.73,0.97,826.64,52.4,-0.01,-0.1,0.174,
260,USDJPY,7,500,300,-120.06,0.97,1146.24,64.4,-0.01,-0.1,0.173,
261,USDJPY,7,900,300,-129.83,0.96,1165.8,65.8,-0.02,-0.1,0.17,
262,GBPUSD,28,1100,300,-116.29,0.95,1419.02,61.1,-0.02,-0.1,0.167,
263,NZDUSD,28,1100,500,-134.82,0.94,1364.25,66.7,-0.02,-0.1,0.167,
264,AUDUSD,14,300,300,-115.44,0.95,680.86,62.1,-0.02,-0.2,0.167,
265,USDCHF,28,300,1100,-89.53,0.97,1763.82,50.0,-0.01,-0.1,0.163,
266,NZDUSD,28,500,900,-115.44,0.95,966.52,58.8,-0.02,-0.1,0.163,
267,NZDUSD,28,900,900,-144.94,0.92,1197.41,66.7,-0.03,-0.1,0.161,
268,EURUSD,21,500,700,-141.57,0.92,760.07,66.7,-0.03,-0.2,0.161,
269,EURUSD,14,700,900,-118.81,0.94,828.32,57.1,-0.02,-0.1,0.158,
270,NZDUSD,21,1200,700,-133.98,0.92,1152.75,61.1,-0.03,-0.1,0.156,
271,AUDUSD,14,300,700,-144.09,0.94,787.04,62.1,-0.03,-0.2,0.155,
272,USDJPY,28,700,500,-132.55,0.95,2033.9,55.6,-0.03,-0.1,0.153,
273,USDCHF,28,500,1100,-136.87,0.95,1944.93,55.6,-0.02,-0.1,0.152,
274,EURUSD,14,700,1100,-132.3,0.94,828.32,57.1,-0.02,-0.2,0.152,
275,EURUSD,14,700,700,-132.3,0.94,828.32,57.1,-0.02,-0.2,0.152,
276,USDCAD,14,300,500,-85.34,0.97,1079.16,40.0,-0.01,-0.1,0.149,
277,USDJPY,28,1100,300,-230.33,0.89,2015.43,77.8,-0.04,-0.1,0.143,
278,AUDUSD,21,900,300,-99.43,0.9,723.84,46.7,-0.04,-0.1,0.143,
279,EURUSD,21,300,1100,-155.89,0.94,814.84,56.0,-0.02,-0.2,0.142,
280,EURUSD,21,700,900,-208.13,0.91,765.13,72.2,-0.04,-0.3,0.142,
281,EURUSD,28,300,700,-168.53,0.92,811.47,60.0,-0.03,-0.2,0.14,
282,NZDUSD,28,300,500,-152.52,0.93,1114.83,52.4,-0.03,-0.1,0.138,
283,USDCHF,21,700,500,-204.78,0.94,1381.01,62.5,-0.02,-0.1,0.136,
284,USDJPY,28,900,700,-170.58,0.95,2577.14,52.9,-0.03,-0.1,0.135,
285,EURUSD,28,300,300,-189.6,0.92,811.47,60.9,-0.04,-0.2,0.134,
286,EURUSD,21,900,900,-213.19,0.89,776.08,68.8,-0.04,-0.3,0.133,
287,GBPUSD,28,1200,300,-192.12,0.92,1494.86,58.8,-0.03,-0.1,0.131,
288,EURUSD,21,700,300,-244.37,0.89,820.74,75.0,-0.04,-0.3,0.13,
289,USDJPY,14,900,500,-211.32,0.94,2317.47,58.3,-0.03,-0.1,0.127,
290,AUDUSD,14,300,500,-210.66,0.91,787.04,62.1,-0.04,-0.3,0.125,
291,USDJPY,7,900,900,-189.05,0.94,2108.87,50.0,-0.02,-0.1,0.124,
292,USDCHF,14,900,500,-195.52,0.93,1419.08,52.2,-0.02,-0.1,0.123,
293,EURUSD,21,900,300,-249.42,0.88,776.08,72.2,-0.05,-0.3,0.122,
294,NZDUSD,21,500,700,-188.75,0.91,562.89,55.0,-0.04,-0.3,0.121,
295,USDCHF,14,1100,500,-216.1,0.93,1624.89,54.5,-0.03,-0.1,0.118,
296,EURUSD,14,1100,500,-197.18,0.89,808.94,52.6,-0.04,-0.2,0.115,
297,EURUSD,14,900,900,-237.63,0.89,889.84,55.0,-0.04,-0.3,0.103,
298,AUDUSD,21,500,300,-193.81,0.85,1012.02,47.1,-0.06,-0.2,0.103,
299,USDJPY,21,700,500,-254.24,0.93,1762.82,50.0,-0.03,-0.1,0.097,
300,EURUSD,14,900,1100,-251.11,0.88,889.84,55.0,-0.04,-0.3,0.097,
301,EURUSD,14,900,700,-251.11,0.88,889.84,55.0,-0.04,-0.3,0.097,
302,EURUSD,14,500,500,-245.21,0.87,856.98,52.4,-0.05,-0.3,0.094,
303,NZDUSD,28,300,900,-257.85,0.89,1277.46,52.4,-0.05,-0.2,0.093,
304,USDJPY,28,500,700,-267.28,0.92,2239.24,47.6,-0.04,-0.1,0.088,
305,NZDUSD,28,500,300,-294.93,0.86,967.36,61.1,-0.06,-0.3,0.087,
306,NZDUSD,28,1100,700,-326.95,0.86,1534.47,66.7,-0.05,-0.2,0.086,
307,EURUSD,21,500,500,-310.1,0.83,760.07,66.7,-0.07,-0.4,0.084,
308,USDCHF,21,500,500,-323.13,0.91,1565.21,59.3,-0.04,-0.2,0.084,
309,USDCHF,28,300,900,-295.34,0.9,1763.82,50.0,-0.04,-0.2,0.079,
310,USDJPY,14,900,700,-302.59,0.91,2492.94,50.0,-0.04,-0.1,0.078,
311,AUDUSD,21,700,700,-263.75,0.82,1176.34,50.0,-0.06,-0.2,0.078,
312,USDCHF,14,1200,500,-319.01,0.9,1727.8,54.5,-0.04,-0.2,0.077,
313,USDJPY,28,1200,300,-393.31,0.83,2178.4,77.8,-0.07,-0.2,0.076,
314,EURUSD,14,700,500,-311.78,0.85,923.54,57.1,-0.06,-0.3,0.073,
315,EURUSD,21,300,900,-324.42,0.88,814.84,56.0,-0.05,-0.4,0.07,
316,USDCHF,28,500,900,-342.68,0.89,1944.93,55.6,-0.05,-0.2,0.068,
317,AUDUSD,21,500,500,-267.96,0.8,1012.02,47.1,-0.08,-0.3,0.067,
318,EURUSD,21,700,700,-376.66,0.83,765.13,72.2,-0.07,-0.5,0.067,
319,USDJPY,28,500,1100,-307.48,0.9,2239.24,42.1,-0.05,-0.1,0.063,
320,USDJPY,14,900,1100,-328.12,0.9,2616.25,45.5,-0.04,-0.1,0.062,
321,USDJPY,21,900,500,-362.89,0.9,1594.96,53.8,-0.04,-0.2,0.06,
322,USDCHF,14,300,500,-339.59,0.91,1361.45,46.7,-0.04,-0.2,0.058,
323,EURUSD,21,900,700,-381.72,0.81,776.08,68.8,-0.08,-0.5,0.057,
324,USDJPY,28,900,300,-447.63,0.82,2232.73,75.0,-0.08,-0.2,0.051,
325,NZDUSD,28,1100,300,-419.64,0.81,1535.31,68.8,-0.07,-0.3,0.049,
326,USDCHF,14,700,500,-374.58,0.9,1396.44,50.0,-0.04,-0.3,0.048,
327,USDCHF,21,700,900,-429.12,0.88,1381.01,62.5,-0.05,-0.3,0.044,
328,USDJPY,14,1100,300,-473.16,0.85,2584.75,70.4,-0.06,-0.2,0.039,
329,USDCHF,21,900,700,-450.73,0.84,1474.65,65.2,-0.06,-0.3,0.036,
