==============================================================================================================
  RANKING | 2026-09-16 01:22:18
  Окно бэктеста: 30 дней | Всего комбинаций: 682
==============================================================================================================
  #    Symbol          K    SL    TP     Profit     PF      MDD   WinR  Sharpe  Recov   Score    Top
--------------------------------------------------------------------------------------------------------------
  78   USDCADrfd      21   900   300   +1220.8  2.49  +655.5  75.0%   0.36   1.9  0.906       
  79   USDCADrfd      14  1100  1200   +1474.4  2.03  +776.5  54.5%   0.26   1.9  0.903       
  80   USDCADrfd      14   700   500   +1376.3  2.15  +534.4  54.5%   0.32   2.6  0.900       
  81   USDCADrfd      28   300   700   +1537.3  1.82 +1004.7  56.0%   0.26   1.5  0.893       
  82   USDCADrfd      28  1200   500   +1378.8  1.97  +825.0  72.2%   0.27   1.7  0.884       
  83   USDCADrfd      14  1200  1200   +1413.9  1.95  +837.1  54.5%   0.24   1.7  0.866       
  84   USDCADrfd      28  1100   500   +1346.1  1.89  +764.4  73.7%   0.25   1.8  0.865       
  85   USDCADrfd      14  1100   700   +1378.2  1.96  +776.5  54.5%   0.25   1.8  0.858       
  86   NZDUSDrfd      14   500   500   +1291.8  1.87  +443.2  66.7%   0.22   2.9  0.855  ▶ TOP
  87   EURUSDrfd      28  1100   500    +966.5  2.62  +396.0  78.6%   0.36   2.4  0.851       
  88   NZDUSDrfd      28  1200   500   +1017.9  2.43  +345.5  69.2%   0.35   2.9  0.840       
  89   USDCADrfd      14  1200   700   +1317.6  1.88  +837.1  54.5%   0.23   1.6  0.821       
  90   EURUSDrfd      28  1100   700    +919.3  2.55  +396.0  76.9%   0.33   2.3  0.818       
  91   USDCADrfd      14   900   500   +1255.3  1.96  +655.5  54.5%   0.27   1.9  0.817       
  92   USDCADrfd      14   500   900   +1373.9  1.67  +839.5  53.8%   0.21   1.6  0.814       
  93   USDCHFrfd      28   700   500   +1287.4  1.72  +776.9  68.8%   0.21   1.7  0.812       
  94   USDCADrfd      21  1100   300   +1099.7  2.17  +776.5  75.0%   0.28   1.4  0.811       
  95   NZDUSDrfd      14   700   500   +1173.8  1.97  +611.8  69.2%   0.22   1.9  0.810       
  96   USDCADrfd      14   500  1100   +1357.0  1.67  +839.5  53.8%   0.21   1.6  0.807       
  97   NZDUSDrfd      28  1200   700    +955.6  2.34  +385.9  69.2%   0.33   2.5  0.797       
  98   USDCADrfd      14   500   700   +1303.7  1.64  +839.5  53.8%   0.21   1.6  0.783       
  99   AUDUSDrfd      28   900   300    +800.5  2.49  +319.4  73.3%   0.34   2.5  0.769  ▶ TOP
  100  USDCADrfd      21  1200   300   +1039.2  2.04  +837.1  75.0%   0.25   1.2  0.769       
  101  NZDUSDrfd      28  1200   300    +901.6  2.26  +444.9  71.4%   0.35   2.0  0.764       
  102  USDCADrfd      14   500  1200   +1245.0  1.61  +839.5  53.8%   0.20   1.5  0.757       
  103  USDCHFrfd      28   700  1200   +1162.8  1.65  +776.9  66.7%   0.17   1.5  0.752       
  104  USDCADrfd      14  1100   500   +1134.2  1.79  +776.5  54.5%   0.22   1.5  0.743       
  105  USDCADrfd      21   300   500   +1134.2  1.60 +1004.7  59.3%   0.21   1.1  0.719       
  106  NZDUSDrfd      14   500   700    +997.7  1.67  +443.2  66.7%   0.19   2.3  0.712       
  107  USDCADrfd      14  1200   500   +1073.7  1.72  +837.1  54.5%   0.20   1.3  0.708       
  108  NZDUSDrfd      28  1200   900    +800.5  2.12  +385.9  69.2%   0.30   2.1  0.706       
  109  NZDUSDrfd      14   900   500   +1005.3  1.73  +780.3  69.2%   0.17   1.3  0.706       
  110  USDCHFrfd      28   700  1100   +1059.9  1.59  +776.9  66.7%   0.16   1.4  0.705       
  111  USDCADrfd      21   500   300    +910.3  1.81  +966.0  71.4%   0.26   0.9  0.683       
  112  USDCADrfd      28   500   500   +1027.7  1.58  +966.0  61.9%   0.21   1.1  0.682       
  113  NZDUSDrfd      14   700   700    +894.1  1.74  +611.8  69.2%   0.19   1.5  0.672       
  114  AUDUSDrfd      28   900   500    +650.5  2.21  +319.4  73.3%   0.28   2.0  0.669       
  115  USDCADrfd      28   300   500    +977.5  1.52 +1004.7  56.0%   0.19   1.0  0.645       
  116  NZDUSDrfd      14   700   300    +824.1  1.68  +611.8  69.2%   0.18   1.3  0.638       
  117  EURUSDrfd      21  1100  1200    +815.7  1.65  +608.4  73.3%   0.17   1.3  0.637       
  118  USDCADrfd      28   700   300    +789.9  1.70  +534.4  68.4%   0.22   1.5  0.632       
  119  USDCADrfd      14   500   500    +938.7  1.46  +839.5  53.8%   0.16   1.1  0.622       
  120  NZDUSDrfd      14  1100   500    +836.8  1.54  +948.8  69.2%   0.13   0.9  0.613       
  121  USDCHFrfd      28   700   900    +854.1  1.48  +776.9  66.7%   0.14   1.1  0.612       
  122  USDCHFrfd      28   900   500    +875.7  1.40  +982.8  68.8%   0.12   0.9  0.608       
  123  USDCADrfd      14   700   300    +773.5  1.65  +534.4  59.1%   0.21   1.4  0.605       
  124  NZDUSDrfd      14   500   300    +773.6  1.52  +443.2  66.7%   0.16   1.7  0.604       
  125  EURUSDrfd      21  1100  1100    +731.4  1.59  +608.4  73.3%   0.16   1.2  0.596       
  126  AUDUSDrfd      28   900   700    +527.5  1.98  +319.4  73.3%   0.25   1.7  0.588       
  127  NZDUSDrfd      14   300   500    +809.8  1.37  +769.3  62.5%   0.12   1.1  0.575       
  128  NZDUSDrfd      14   900   700    +725.5  1.53  +780.3  69.2%   0.13   0.9  0.574       
  129  NZDUSDrfd      14  1200   500    +752.5  1.46 +1033.1  69.2%   0.11   0.7  0.570       
  130  NZDUSDrfd      14   300   700    +770.2  1.35  +769.3  62.5%   0.12   1.0  0.558       
  131  AUDUSDrfd      28   700   700    +605.9  1.59  +609.2  75.0%   0.15   1.0  0.551       
  132  USDCHFrfd      28   900  1200    +751.2  1.34 +1159.8  66.7%   0.10   0.6  0.548       
  133  NZDUSDrfd      14   900   300    +655.6  1.47  +780.3  69.2%   0.12   0.8  0.541       
  134  USDCADrfd      14   300  1200    +843.7  1.28 +1079.2  40.0%   0.10   0.8  0.535       
  135  USDCADrfd      14   300   900    +837.7  1.27 +1079.2  40.0%   0.10   0.8  0.533       
  136  NZDUSDrfd      14   300   900    +712.0  1.32  +769.3  62.5%   0.11   0.9  0.532       
  137  USDCADrfd      14   900   300    +652.5  1.50  +655.5  59.1%   0.16   1.0  0.532       
  138  EURUSDrfd      28   700   300    +600.8  1.42  +607.6  76.5%   0.14   1.0  0.530       
